program,section,semester,course,course_code,day,start_time,end_time,room,teacher
BS-ELE,A,4th,Eft,ELE-213,Wednesday,09:30,11:00,SSG-55,Mr. Umar Siddiqui
BS-ELE,A,4th,Pme,ELE-202,Wednesday,11:00,00:30,SSG-61,Mr. Kalsoom Baloch
BS-ELE,A,4th,Es,ELE-425,Wednesday,00:30,02:00,SSG-55,Mr. Zia Javed
BS-ELE,A,4th,S&S(Lab),ELE-261L,Thursday,09:30,00:30,CISCO LAB,Engr. Zahid Khan
BS-ELE,A,4th,Pme,ELE-202,Thursday,00:30,02:00,R8,Ms. Kalsoom Baloch
BS-ELE,A,4th,Eft,ELE-213,Thursday,03:00,04:30,R8,Mr. Umar Siddiqui
BS-ELE,B,4th,Pme,ELE-202,Monday,09:30,11:00,SSG-18,Ms. Kalsoom Baloch
BS-ELE,B,4th,S&S,ELE-261,Monday,11:00,00:30,SSG-17,Dr. Adil Israr
BS-ELE,B,4th,Pe,nan,Tuesday,09:30,11:00,R5,Mr. Atifullah Khan
BS-ELE,B,4th,Es(Lab),ELE-425L,Tuesday,11:00,02:00,SOFTWARE LAB,Engr. Haris Shahbaz
BS-ELE,B,4th,Es,ELE-425,Tuesday,03:00,04:30,SSG-13,Mr. Zia Javed
BS-ELE,B,4th,S&S(Lab),ELE-261L,Wednesday,09:30,00:30,CISCO LAB,Engr. Zahid Khan
BS-ELE,B,4th,Eft,ELE-213,Wednesday,00:30,02:00,R6,Mr. Umar Siddiqui
BS-ELE,B,4th,Es,ELE-425,Wednesday,03:00,04:30,SSG-55,Mr. Zia Javed
BS-ELE,B,4th,S&S,ELE-261,Thursday,09:30,11:00,R6,Dr.Adil Israr
BS-ELE,B,4th,Pme,ELE-202,Thursday,11:00,00:30,SSG-55,Ms. Kalsoom Baloch
BS-ELE,B,4th,Eft,ELE-213,Thursday,00:30,02:00,SSG-56,Mr. Umar Siddiqui
BS-ELE,A,6th,Pdu,nan,Monday,09:30,11:00,R6,Dr. Waleed Raza
BS-ELE,A,6th,Cs(Lab),TE-314L,Monday,11:00,02:00,COMMUNICATION SYSTEM LAB,Engr. Ali Israr
BS-ELE,A,6th,Ccn,nan,Monday,03:00,04:30,R5,Dr. Muhammad Bilal
BS-ELE,A,6th,Ob,nan,Tuesday,09:30,11:00,R4,Mr. Muhammad Bux
BS-ELE,A,6th,Pdu,nan,Tuesday,11:00,02:00,POWER SYTEM LAB,Engr. Mugheera Ali
BS-ELE,A,6th,Ccn,nan,Tuesday,03:00,04:30,R5,Dr. Muhammad Bilal
BS-ELE,A,6th,Lcs,ELE-214,Wednesday,11:00,00:30,R6,Dr. Sara Ayub
BS-ELE,A,6th,Pdu,nan,Wednesday,00:30,02:00,HBL LAB-IV,Dr. Waleed Raza
BS-ELE,A,6th,Cs,TE-314,Wednesday,03:00,04:30,SSG-18,Dr. Humayoun Shahwani
BS-ELE,A,6th,Cs,TE-314,Thursday,11:00,00:30,SSG-18,Dr. Humayoun Shahwani
BS-ELE,A,6th,Lcs(Lab),ELE-214L,Thursday,00:30,04:30,SSC LAB II CLOUD COMPUTING LAB,Engr. Muhammad Haris
BS-ELE,A,6th,Lcs,ELE-214,Friday,09:30,11:00,R8,Dr. Sara Ayub
BS-ELE,A,6th,Ccn(Lab),nan,Friday,11:00,02:00,CISCO LAB,Engr. Ali Israr
BS-ELE,B,6th,Pdu(Lab),nan,Monday,09:30,00:30,POWER SYTEM LAB,Eng.Mugheera Ali
